data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
05/01/2012 07:34,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 07:34,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
05/01/2012 08:00,1,PARTICULAR                    ,MOTONETA                      ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 08:00,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 08:41,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 08:41,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 08:41,3,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 09:14,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,      
05/01/2012 09:28,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 09:28,2,ALUGUEL                       ,ONIBUS                        ,PARADO         ,VIATURA PMMG        
05/01/2012 09:43,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
05/01/2012 09:43,2,OFICIAL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 09:50,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
05/01/2012 11:40,1,OFICIAL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 11:40,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
05/01/2012 11:46,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 11:46,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
05/01/2012 13:27,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 13:27,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
05/01/2012 13:56,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 13:56,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 15:15,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
